"","no","ANOVAfull","anova","oldWT-oldHet","young-oldHet","young-oldWT"
"PC(32:4) (2)",0,0.0916,0.0224,0.5407,0.0273,0.3589
"PC(32:5) (1)",0,0.491,0.0124,0.3046,0.0126,0.2831
"PC(32:5) (2)",0,0.023,0.0565,0.9959,0.0851,0.3643
"PC(33:0)",0,0.1011,0.0233,0.3206,0.685,0.1171
"PC(33:1)",0,0.015,0.1669,0.7405,1,0.2831
"PC(33:3) (1)",0,0.0076,0.8555,1,1,1
"PC(33:3) (2)",0,0.0201,0.2779,1,0.6574,0.4942
"PC(33:4) (1)",0,0.1581,0.0556,1,0.1223,0.207
"PC(33:4) (2)",0,0.1178,0.7135,1,1,0.892
"PC(33:5)",0,0.5281,0.4547,1,1,0.6421
"PC(33:6)",0,0.0762,0.0293,0.2535,0.0489,1
"PC(33:7)",0,0.3281,0.0799,0.4504,0.1138,1
"PC(34:1)",0,0.0021,0.0124,0.1487,1,0.1171
"PC(34:1e)",0,0.0254,0.5818,0.9873,1,0.8112
"PC(34:2e)",0,0.015,0.9338,1,1,1
"PC(34:3) (1)",0,0.0064,0.0216,0.3454,0.4701,0.1171
"PC(34:3) (2)",0,0.0103,0.0216,0.4259,0.3229,0.1171
"PC(34:5) (1)",0,0.0052,0.0216,0.9027,0.0298,0.1759
"PC(34:5) (2)",0,0.3461,0.1232,1,0.316,0.3108
"PC(34:5) (3)",0,0.0017,0.0458,1,0.1287,0.174
"PC(34:6) (1)",0,0.0117,0.0124,0.7442,0.0126,0.1171
"PC(34:6) (2)",0,0.6288,0.0192,1,0.0298,0.1171
"PC(34:6) (3)",0,0.0297,0.0124,0.3046,0.0126,0.1986
"PC(34:7)",0,0.0098,0.0133,1,0.02,0.1171
"PC(35:0)",0,0.4261,0.4943,0.8188,0.8906,0.9446
"PC(35:1)",0,0.1912,0.0637,0.3046,0.7269,0.2552
"PC(35:3) (1)",0,0.039,0.0216,0.2535,1,0.1171
"PC(35:3) (2)",0,0.0138,0.2104,0.9929,0.853,0.3568
"PC(35:4) (1)",0,0.8179,0.0849,0.6715,0.855,0.1837
"PC(35:4) (2)",0,0.4189,0.5605,0.9121,0.837,1
"PC(35:5) (1)",0,0.0116,0.0652,1,0.227,0.2061
"PC(35:5) (2)",0,0.0938,0.6048,0.9332,1,0.9088
"PC(35:6)",0,0.2014,0.0565,0.9959,0.2881,0.1626
"PC(36:0)",0,0.1338,0.2496,0.7238,1,0.4078
"PC(36:1)",0,0.0079,0.1223,0.4669,1,0.2598
"PC(36:2) (1)",0,0.01,0.0312,0.2922,1,0.1171
"PC(36:2) (2)",0,0.0079,0.1001,0.5277,1,0.207
"PC(36:2e)",0,0.0169,0.8511,1,1,1
"PC(36:3) (1)",0,0.0046,0.0418,0.2958,1,0.145
"PC(36:3) (2)",0,0.214,0.4138,0.7654,1,0.702
"PC(36:3e)",0,0.0784,0.9713,1,1,1
"PC(36:4) (1)",0,0.012,0.0343,0.3046,1,0.1171
"PC(36:4) (2)",0,0.4266,0.2955,0.6257,0.8036,0.7871
"PC(36:4e)",0,0.0138,0.1793,0.4669,0.7993,0.5498
"PC(36:5) (1)",0,0.0071,0.0595,0.5851,0.8479,0.1568
"PC(36:5) (2)",0,0.0075,0.0224,0.3046,0.838,0.1171
"PC(36:5e)",0,0.5784,0.8608,1,1,1
"PC(36:6) (1)",0,0.0046,0.0591,0.9498,0.3706,0.1731
"PC(36:6) (2)",0,0.0129,0.1071,0.5904,1,0.207
"PC(36:6e)",0,0.0069,0.0339,0.7057,0.2962,0.1171
"PC(36:7) (1)",0,0.4652,0.0339,0.6709,0.3286,0.1171
"PC(36:7) (2)",0,0.6434,0.0565,0.3188,1,0.1564
"PC(36:7e)",0,0.0097,0.379,0.7135,0.9875,0.7605
"PC(36:8)",0,0.2195,0.192,0.7357,0.2451,1
"PC(37:0)",0,0.2869,0.6446,1,0.893,0.9076
"PC(37:1)",0,0.4225,0.9386,1,1,1
"PC(37:2)",0,0.0722,0.3736,0.7884,1,0.6078
"PC(37:3)",0,0.0313,0.0854,0.3374,1,0.2271
"PC(37:5)",0,0.4261,0.0348,0.5407,0.5557,0.1171
"PC(37:6)",0,0.0199,0.4816,0.8039,0.8575,0.9637
"PC(38:0)",0,0.6573,0.4717,1,0.7497,0.8061
"PC(38:1)",0,0.1129,0.5504,1,0.837,0.8402
"PC(38:2)",0,0.2413,0.626,1,1,0.8112
"PC(38:3) (1)",0,0.0108,0.4485,1,1,0.6421
"PC(38:3) (2)",0,0.0376,0.0652,0.3046,0.741,0.2583
"PC(38:3e)",0,0.8614,0.0959,1,0.2759,0.2552
"PC(38:4) (1)",0,0.0068,0.0487,0.3046,0.9927,0.1703
"PC(38:4) (2)",0,0.0025,0.0418,0.3046,1,0.145
"PC(38:5)",0,0.0027,0.0252,0.3376,0.6759,0.1171
"PC(38:6) (1)",0,0.7936,0.6025,1,1,0.791
"PC(38:6) (2)",0,0.0072,0.3989,1,0.647,0.7555
"PC(38:6) (3)",0,0.0078,0.0348,0.2535,0.4108,0.1986
"PC(38:6e)",0,0.0051,0.1892,0.5972,1,0.3632
"PC(38:7) (1)",0,0.2528,0.1355,0.3951,0.9041,0.3643
"PC(38:7) (2)",0,0.1703,0.236,0.9933,0.8906,0.3706
"PC(38:7e)",0,0.001,0.162,0.565,1,0.315
"PC(38:8)",0,0.1117,0.1398,0.3789,0.7868,0.4365
"PC(38:9)",0,0.0124,0.0216,0.6733,0.143,0.1171
"PC(39:1)",0,0.5025,0.0216,0.2433,0.0287,1
"PC(39:5)",0,0.0098,0.0611,0.3098,1,0.1986
"PC(39:6)",0,0.0023,0.1928,0.4902,0.7945,0.6017
"PC(40:1)",0,0.3787,0.5234,0.8642,1,0.8447
"PC(40:10)",0,0.027,0.0785,1,0.4095,0.1986
"PC(40:2) (1)",0,0.5554,0.7075,1,1,0.9088
"PC(40:2) (2)",0,0.3462,0.4902,0.8193,1,0.8427
"PC(40:3)",0,0.0135,0.3369,1,0.4525,0.8659
"PC(40:4) (1)",0,0.0098,0.192,1,0.6291,0.3612
"PC(40:4) (2)",0,0.0331,0.4459,0.8193,1,0.7155
"PC(40:5)",0,0.0245,0.6223,1,1,0.8112
"PC(40:6)",0,0.0187,0.2068,0.565,1,0.4365
"PC(40:7) (1)",0,0.0114,0.3681,0.7135,1,0.7063
"PC(40:7) (2)",0,0.0268,0.0969,0.3111,0.3928,0.5829
"PC(40:7e)",0,0.2018,0.0947,0.514,1,0.2012
"PC(40:8) (1)",0,0.015,0.0343,0.2535,0.9001,0.1378
"PC(40:8) (2)",0,0.11,0.0216,0.1369,0.1137,0.2063
"PC(40:9) (1)",0,0.495,0.6326,1,1,0.816
"PC(40:9) (2)",0,0.0046,0.0348,0.2784,1,0.1304
"PC(41:2)",0,0.5728,0.6709,1,0.9477,0.902
"PC(41:6)",0,0.0187,0.1165,0.4549,0.1807,1
"PC(42:10)",0,0.3243,0.3905,0.7442,1,0.6873
"PC(42:11)",0,0.0181,0.6814,1,1,0.8909
"PC(42:2) (1)",0,0.4962,0.9766,1,1,1
"PC(42:2) (2)",0,0.7447,0.7499,1,0.9927,0.9725
"PC(42:3)",0,0.1385,0.2009,1,0.3156,0.6304
"PC(42:6)  (2)",0,0.3862,0.0192,0.2535,0.0191,0.9365
"PC(42:6) (1)",0,0.0573,0.5085,0.8456,0.83,1
"PC(42:6e)",0,0.8844,0.244,1,0.5481,0.4886
"PC(42:7e)",0,0.9436,0.0582,0.9632,0.0894,0.4239
"PC(42:8)",0,0.582,0.4111,0.7357,0.8906,0.8645
"PC(44:11)",0,0.0446,0.366,1,0.4603,0.9952
"PC(44:12)",0,0.0064,0.1495,0.4504,0.3104,0.9201
"PE(11:0_16:0)",0,0.0647,0.0216,0.1369,0.2525,0.145
"PE(14:0_22:6)",0,0.0075,0.0576,0.2928,0.4422,0.3147
"PE(14:1e_22:6)",0,0.0098,0.1696,1,0.4675,0.3632
"PE(15:0_22:6) (1)",0,0.6923,0.162,0.6298,0.2196,1
"PE(15:0_22:6) (2)",0,0.7641,0.9929,1,1,1
"PE(16:0_16:1)",0,0.5608,0.3566,0.8743,0.464,1
"PE(16:0_18:1)",0,0.015,0.0687,0.3749,1,0.1813
"PE(16:0_18:2)",0,0.0552,0.1974,1,0.7574,0.3495
"PE(16:0_18:3)",0,0.2195,0.192,0.8697,0.9509,0.315
"PE(16:0_20:5)",0,0.0138,0.0845,0.4669,1,0.1986
"PE(16:0_22:1)",0,0.3281,0.1214,0.3523,0.8036,0.3741
"PE(16:0_22:4)",0,0.2929,0.0582,0.2928,0.3477,0.3705
"PE(16:0_22:6) (1)",0,0.0138,0.0267,0.1912,0.2639,0.1837
"PE(16:0_22:6) (2)",0,0.6945,0.9961,1,1,1
"PE(16:0p_20:4)",0,0.8393,0.2735,1,0.4525,0.6569
"PE(16:0p_22:5)",0,0.2762,0.9774,1,1,1
"PE(16:1_22:6) (1)",0,0.0048,0.0565,0.3046,0.9842,0.1837
"PE(16:1_22:6) (2)",0,0.3016,0.6921,1,1,1
"PE(16:1e_20:4)",0,0.8721,0.1509,1,0.3716,0.3589
"PE(16:1e_20:5)",0,0.9375,0.2916,1,0.5599,0.6002
"PE(16:1e_22:5)",0,0.8874,0.8056,1,1,1
"PE(16:1e_22:6)",0,0.4437,0.6751,0.9933,1,1
"PE(17:0_18:1)",0,0.0446,0.054,0.3324,1,0.145
"PE(17:0_20:5)",0,0.903,0.2089,0.5633,1,0.4638
"PE(17:0_22:5) (1)",0,0.7321,0.434,0.8039,0.6766,1
"PE(17:0_22:5) (2)",0,0.5347,0.626,1,0.8371,0.9446
"PE(17:0_22:6)",0,0.7918,0.6866,1,1,0.902
"PE(17:1_22:6)",0,0.5408,0.7499,1,1,1
"PE(18:0_18:1)",0,0.2563,0.0987,0.3188,0.3227,0.6882
"PE(18:0_18:3)",0,0.3032,0.1926,0.7202,1,0.3259
"PE(18:0_20:3)",0,0.3437,0.4111,1,0.5599,0.8799
"PE(18:0_20:5)",0,0.027,0.0722,0.3046,0.5099,0.3656
"PE(18:0_22:1)",0,0.5549,0.2385,0.6707,1,0.4273
"PE(18:0_22:4)",0,0.0491,0.3844,0.8936,1,0.571
"PE(18:0_22:5)",0,0.0512,0.2609,0.5851,0.8906,0.6536
"PE(18:0_22:6)",0,0.1399,0.2143,0.5277,0.837,0.6158
"PE(18:0p_20:4)",0,0.4901,0.6222,1,0.8893,0.8935
"PE(18:0p_22:5)",0,0.4189,0.626,1,1,0.8112
"PE(18:1_18:1)",0,0.0368,0.2148,0.5904,1,0.4318
"PE(18:1_18:2)",0,0.1925,0.1425,1,0.5146,0.2831
