,ID,group,ONTOLOGY,Description
1,GO:0034470,MALE_FULL+MALE_FASTED+FEMALE,BP,ncRNA processing
2,GO:0006399,MALE_FULL+MALE_FASTED+FEMALE,BP,tRNA metabolic process
3,GO:0008033,MALE_FULL+MALE_FASTED+FEMALE,BP,tRNA processing
4,GO:0006400,MALE_FULL+MALE_FASTED+FEMALE,BP,tRNA modification
