Metabolites (see Note below for Bold metabolites),4,5,6,11,12,13,14,18,19,20,25,26,27,31,32,33,38,39,40,41,45,46,47,52,53,54,55
Adenosine 3'-monophosphate,75737707.52,15999128.36,91854423.21,30575831.43,75179751.13,145885308.2,59945607.45,29628666.27,54401860.66,35897419.66,160491068.2,386428408.5,242088992,216557373.7,113426869.6,46006138.4,146396883.7,255846801.6,239653697.5,394441589.9,383699062.8,191324037.1,295573704.1,67538823.59,238589860.5,395250302.6,268944910.2
ADENOSINE 5'-DIPHOSPHATE,2174483.034,0,3348126.536,2726495.131,3837494.932,3426805.811,263043.0204,0,4574706.32,3751025.718,1403000.694,32202634.03,16912360.9,11243592.15,2180341.769,1793053.24,4819939.209,15660108.72,21437498.54,12667006.89,25878834.46,4611606.629,10880279.3,0,4730163.104,9902025.032,5524340.499
Adenylosuccinic acid,0,0,1298191.127,0,0,0,0,0,681463.4362,0,0,1213244.1,824781.0863,1631830.563,0,0,1591964.638,1538244.948,579994.3832,0,1567404.286,1475751.052,0,0,1651528.033,1013917.24,1340698.026
Alanine,217984727,171055686.2,271358708.3,341332057.7,141488922.7,238431782.7,106117023,383283710.4,301596548.7,156825496.3,188078528,474046108.5,220514986.9,195974531.5,143640165.6,199314790.6,387105576.2,217844285.1,218315335.4,730581829.8,292793262,203226019.9,279693266.8,706676867.9,271923787.1,164396475.8,159146149.9
Allose,32969377.61,38338579.06,54653605.92,38554624.39,40429113.23,53224251.03,24834990.17,18897707.61,40326355.1,5940443.023,1078615.681,0,0,11145268.84,0,0,990295.6497,0,445213.4555,7679955.015,16441320.77,11689772.55,19607449.9,17374922.83,13450916.22,23301664.99,17745510.76
ALLOTHREONINE,99414563.54,139418626.7,237378333.2,316665477.9,215874164.9,397070368.1,102070854.6,133136570.9,1040766955,483596357.1,885466271.2,779495046.6,1955637495,124762457,372281506.7,849853250.7,1795790489,344774363.6,968993457.3,325994107.8,255781640.2,265903885.6,171559555.6,393106949.1,276248234.4,132456842.7,158645718.5
ALPHA-HYDROXYISOBUTYRATE,28352726.56,23702017.4,28185198.76,32007673.36,17017705.94,32262902.8,17510178.48,38176886.95,25837774.61,23378851.04,31311848.04,58975919.62,58256654.35,15582339.44,12667733.84,15098817.1,31624868.04,17111077.55,25536558.25,14026870.26,18893042.26,19248955.97,21879974.07,19157479.01,18996372.02,14742322.32,17682172.26
Alpha-Ketoglutaric acid,2167739.134,303837.9919,256115.3446,0,5315793.09,0,973947.6121,0,348407.8051,401962.9478,0,0,0,0,0,0,1823779.5,2415079.666,842847.5924,10437758.89,1099316.494,1187472.372,1211356.838,12438458.68,3857593.209,0,1418632.647
Arabitol,722666.3128,2583248.702,1688182.523,4764540.033,3172398.505,2485342.947,1802749.001,673647.4177,3861433.822,1472671.592,0,0,1123042.457,1626375.789,0,0,500936.9288,0,0,0,458393.1842,1075267.808,913527.0223,1904073.051,2911356.013,1316803.582,2025780.871
Arginine,31670469.61,16315793.86,55526244.08,33754240.34,21608748.31,49562930.51,12056011.47,72386182.58,66172324.9,27165574.55,1904766.672,29434508.76,16955491.29,24577022.32,23111810.06,26622579.84,189088206,98487577.41,35115319.5,645446358.3,35093041.82,20921198.74,40609909.21,423450380.9,17502806.69,17297092.25,19949963.48
ASCORBATE,196068338.7,85026382.86,17181789.6,50272391.75,0,290893.4567,2877451.02,325380651.7,38146278.56,82838776.96,0,79299173.21,591827.3583,26185712.47,1390046.696,0,25912162.41,0,570742.2046,0,31224034.85,0,0,0,0,0,0
ASPARAGINE,5561822.795,7522628.554,2827714.991,9469007.777,6383740.665,19883964.78,2877934.983,19751345.49,21865683.19,12315960.17,0,20738207.42,16441519.67,4132078.797,8567312.655,2608333.016,19036095.83,5278374.888,10604123,37847697.49,32643839.47,1093503.939,10180345.09,19709124.63,1998727.393,11424344.18,12207237.43
ASPARTATE,481554310.4,496509320.2,454578428.6,474771669.9,450505704.9,710808319.1,307485167.6,481911150.4,398458990,579579232.8,745010259.7,705076328.6,614018970.4,592582493,578034513.3,298533554.6,532237173.8,756138069.5,718782787,723763293.9,614609900.8,481664319.5,764904151.3,954569660.8,719546036,735021204.3,649902274.4
AZELATE,0,0,250934.1963,737209.5734,531648.9845,0,223389.7325,0,0,1454418.42,0,798226.9289,0,0,0,0,563189.087,0,0,421997.6686,0,4058949.614,0,0,0,0,0
BENZOATE,51860484.51,47594383.78,41518458.68,68907407.83,48877070.09,56554905.95,34113002.37,75570584.79,49502868.05,64638270.49,73110856.46,136061958.9,97762666.42,57056188.02,68190443.62,65299951.86,94954679.46,80281754.57,96631201.01,48899960.28,75061952.04,68751445.69,62364009.57,76747004.24,67991745.84,66509123.59,48043161.76
BETA-ALANINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94849652.82,79947896.02,113951537.5,0,0,0,0
Beta-hydroxyisobutyrate,15096516.49,22313623.64,14922409.61,6745605.635,2373265.645,5044172.841,361457.3444,9225333.422,5657574.407,3105318.091,785985.4006,11756629.66,12760694.33,3530329.033,0,2428177.366,7470240.63,1162575.997,4618184.333,1282554.812,9660573.795,10390532.26,2870440.731,5026576.387,0,0,2170393.692
Beta-Hydroxyisovaleric acid,118478117.3,6434864.206,7037315.711,7228174.784,3088876.857,17709842.4,2565650.045,87974537.95,5834874.365,4527055.654,3853752.058,19595959.85,6771525.671,4974514.275,2907895.829,5241103.638,5249568.18,6824878.042,5434427.866,4773125.725,3690784.824,7075878.268,4659585.625,7826147.717,3600807.282,4673128.118,2897160.15
BETAINE,111128208.8,137543524.3,94328410.68,80798817.2,31043715.74,52447091.83,36444114.94,150465064.9,56088623.98,57329518.82,98198161.65,211500147.8,107133294.3,41639085.65,60696325.91,98913791.87,190327533.5,58425605.68,83042467.06,57327920.23,83545388.94,87305861.65,63507808.62,120547077.5,104537659.2,29904530.04,39908169.67
Betaine Hydrate,9931835.397,12533389.96,4650958.161,5552454.741,350937.9978,2870109.792,1095331.117,12546793.47,2445868.391,3498241.591,0,5957265.362,5939640.961,0,0,914432.9733,14941500.42,578955.8379,1044134.585,0,1245715.224,2321818.291,542306.1695,861890.8808,3798342.205,0,776641.6279
beta-Lactose,141884521.5,167108777.6,202285439.8,118423393.8,93263326.55,129557351.3,98654362.61,58786612.3,100839595.2,5410779.56,0,924544.9553,0,50058494.29,0,0,1922980.979,3510449.769,12975233.3,264987573.8,107442598,78065929.84,242365731.4,491502538.7,124111090.7,86018931.85,91255876.64
Choline glycerophosphate,0,0,0,0,322047.3848,315757.6693,0,0,0,0,0,0,0,0,0,0,0,703213.5877,0,0,0,0,0,0,0,0,0
