"Gene","mlog10QvalxFC"
"ube2ql1",0.427464743698499
"pparg",0.15796582286294
"g6pc",0.172782507166527
"sox6",0.0886960239515689
"blzf1",0.110670422430291
"cecr2",0.118458965066515
"LOC107394182",0.134637121630021
"LOC107385407",0.22397932472091
"LOC107375093",0.0799840239442767
"LOC107383245",0.0522217969705355
"csnk1e",0.104563866660645
"mapkapk5",0.0536267354063462
"tp53inp1",0.105659191608858
"LOC107383782",0.0691065531351436
"LOC107376320",0.125492456047228
"LOC107384947",0.137350843080412
"ifrd1",0.0791137840261904
"midn",0.0874997420803022
"LOC107391202",0.0787408510225563
"LOC107373914",0.13515644817123
"topors",0.0411202615351592
"myo1e",0.0806625502853142
"mier3",0.0476014707998406
"LOC107374400",-0.0595825365945254
"LOC107376222",0.142172221329296
"LOC107392162",0.0395491334430387
"LOC107383436",0.208421640261061
"aprt",0.0581326995280568
"LOC107377027",0.0924522435875963
"LOC107385240",0.103722798051612
"LOC107388748",0.0944182352656768
"klf9",0.1600795060502
"LOC107376355",0.0889462582886303
"klf3",0.057223203337602
"LOC107383978",0.09403397576217
"rcbtb2",0.0692307765514781
"LOC107391151",0.191048607076961
"LOC107393048",0.203298210355664
"LOC107388361",0.0701675935332357
"rundc1",0.0812011046452043
"noct",0.125077126025732
"LOC107392115",0.0762563735883725
"kif3c",-0.0484728536464622
"LOC107380401",0.0952291386272569
"LOC107396642",0.110367841760685
"sgk1",0.153716310180583
"LOC107374876",0.0690963085830038
"LOC107391893",0.0462666057110615
"LOC107374401",-0.0564265781648285
"LOC107391013",0.0386500797267311
"LOC107393850",-0.0765588827133584
"LOC107396005",0.110079943032871
"LOC107385161",0.213165570006211
"lonrf1",0.0581047949500087
"LOC107377894",-0.0400682066714804
"pi4kb",0.044203196649928
"kdm7a",0.0527381985425987
"LOC107387235",0.056176997606167
"nr0b2",-0.0854594014725696
"mthfd2",0.0831312195648571
"LOC107388308",0.0428868471356983
"acvr1b",0.0394099650320323
"ric1",0.0308199084860422
"foxo3",0.066526458612024
"LOC107393692",0.0692150451947868
"znf598",0.0458952361240534
"zbtb21",0.0787714763968721
"pptc7",0.154885014537918
"znf292",-0.0649333654320352
"tjp3",-0.0364322073952965
"LOC107385352",0.111923455864529
"dpf2",0.0321867692335032
"foxo1",0.0812749630298603
"tmem5",-0.0468891714108935
"LOC107376919",0.086573490317868
"LOC107391203",0.0576289870585927
"ankrd13c",0.0503257662433024
"LOC107385664",0.0431015834299709
"sncaip",0.027342876180042
"dnajb4",0.0795576688777556
"ficd",0.0531758422630435
"insig1",0.0672356621594242
"LOC107378614",0.0409103937299014
"ubtd1",0.0885249094608202
"LOC107395015",0.0442953696416675
"rreb1",-0.0313616774885713
"slc25a36",-0.0437011630979629
"slc48a1",0.022426076143187
"LOC107377866",0.0275914141735167
"ppp1r8",-0.042347310627082
"LOC107392873",0.034569611240484
"LOC107384056",0.0353176657708121
"fundc1",0.0202435169092296
"zranb1",0.0183326552372583
"LOC107376364",0.0220239784115309
"fem1c",0.0185141349246775
"LOC107385615",0.123873468860995
"rnf139",0.0317873209959575
"sesn1",0.038840925403243
"LOC107374311",0.0200145859057394
"thap4",0.0550008791331831
"erf",0.0341768790661556
"slc25a33",0.0492778397953246
"LOC107382535",0.0202995426469557
"leprotl1",0.026185145731635
"eif4g2",0.0659366039999116
"LOC107389842",0.118936420995403
"LOC107394419",0.0294068200154236
"LOC107381213",0.0152013193148601
"kbtbd8",0.0225855438567214
"cdc37l1",0.019194049187642
"kat5",0.0164573582232372
"rhpn2",0.0290815426095557
"LOC107394510",0.0159458180978927
"LOC107393666",0.0137108168475104
"ugt8",0.0124489361819476
"tle3",0.0235361860207168
"LOC107385685",0.0102663611096476
"csnk1d",0.00525971372214097
"LOC107380227",0.0195585412805425
"inpp5f",0.00741646735661952
"lpcat3",-0.00644796295445541
"LOC107372968",-0.00954194451525216
"ccnt1",0.0082313604365598
"coq10b",0.00939885178441011
"LOC107378331",0.00944352790177976
"LOC107374899",-0.0175727396994315
"nmrk2",0.0250871600521268
"sertad2",0.00837066187573462
"LOC107393627",0.00610706363821502
"mau2",0.00665161174244123
"atp7a",0.0169207626826922
"LOC107393720",0.00721744073581767
"lrp12",0.0103110997335139
"diexf",0.00609685112397213
"pck1",0.0351343501111321
"LOC107374219",0.00919508038078777
"LOC107396772",-0.0465138003173858
"dda1",0.00421529135306367
"LOC107390659",0.00802081777517662
"dgcr14",0.00748635251551866
"relt",0.0162101219205442
"LOC107389226",0.0086293903982945
"LOC107374960",0.010028322742228
"LOC107375387",0.0101945907660201
"LOC107393496",0.00664940691167042
"LOC107378679",0.0166342900311471
"irs2",0.0138254969204885
"lrwd1",-0.0132832143294732
"phf13",0.00443377000650055
"LOC107396700",0.0238570574682376
"spata2l",0.00733490584323553
"ahnak",-0.00928763439225665
"LOC107372526",0.00748847799215909
"bcl2l14",0.0200448861361013
"LOC107386656",-0.00557462015366593
"LOC107389619",-0.00507524641796961
"fam124b",0.0219889128906894
"rfk",0.00742070020022694
"LOC107386044",0.0179979865248847
"LOC107382741",0.00819891501795353
"LOC107375562",0.00563698421577054
"ciz1",-0.00844258268883933
"LOC107378447",0.014423684624835
"LOC107396438",0.00605961490016697
"LOC107388857",0.0141300905385543
"csgr02h9orf69",0.0135555394883443
"snx11",0.00826551158840579
"LOC107389991",-0.0199764137421403
"pafah1b2",-0.00388820095167468
"ddit3",0.00685418839094055
"LOC107394681",0.00654501683927392
"LOC107390777",0.000108831015885468
"LOC107395816",-0.000142140870582226
"LOC107388400",0.000208389272330918
"LOC107380105",0.000107949746173574
"fosl2",0.000202221176400165
"lyrm7",-8.66972150784196e-05
"LOC107384049",6.93644543767238e-05
"atxn2",3.6527085829407e-05
"mob2",8.30702955154948e-05
"LOC107374262",4.10479211673269e-05
"upp2",5.81439245109461e-05
"LOC107379773",5.78814821509186e-05
"adm2",0.000152368623153195
"LOC107385837",6.12024627753498e-05
"LOC107393147",5.09216282913274e-05
"mpp4",5.63851938398436e-05
"pias4",3.73179499529082e-05
"LOC107384143",5.38799218610589e-05
"pik3cb",4.64685382336923e-05
"tp53bp2",5.24439522834024e-05
"gnaq",0.000122856621840474
"abtb1",-3.66329475761568e-05
"LOC107391090",4.31830689589718e-05
"ppcs",-7.57094893241043e-05
"LOC107396427",0.000132037443567228
"LOC107396320",9.11022132467483e-05
"LOC107378675",0.000135405356213912
"LOC107394734",7.18187229216433e-05
"fbxl2",0.000121787017873876
"LOC107376645",5.68514012175393e-05
"LOC107388818",-6.29483963990927e-05
"kpna3",0.000117055064524909
"LOC107388276",-8.46137471070719e-05
"LOC107378226",0.000125230268798798
"arih1",4.22342750755097e-05
"tpgs2",-6.30762082531003e-05
"adamtsl1",-0.000163836706471658
"pwwp2b",4.67619990898968e-05
"csgr01h5orf45",0.000135658594371831
"LOC107381708",4.64246983083975e-05
"LOC107383719",-6.18464147905877e-05
"piga",7.0917087927086e-05
"LOC107378451",0.000147171289220198
