"Gene","mlog10QvalxFC"
"adamts9",-4.76997078598201
"LOC107376722",-1.95784753235178
"LOC107372718",2.84868785402944
"rnf26",-3.92838890598949
"abl2",1.55057960890667
"LOC107395806",2.91490704195667
"LOC107385540",-3.31529807258223
"LOC107394876",1.60243728447266
"zbtb16",2.73513846829908
"plod1",-2.56914162977214
"foxp2",2.29483880350708
"LOC107384584",1.49619088709447
"kdm4a",1.79791982855434
"p4ha1",-3.19437560562826
"LOC107374971",4.18101634305564
"LOC107394910",-1.72049114518379
"dach1",2.21323360765371
"cpox",-1.497546106872
"rassf7",1.70373000558453
"LOC107389771",2.215020173169
"dlg5",1.94285429160093
"LOC107388818",2.15197636774556
"eif2b4",-1.27468684690767
"LOC107373610",-2.47296046513185
"gas1",1.43154490162427
"LOC107390519",-1.11484333750647
"ralgapa2",1.17895412094945
"erlec1",-2.07721800168413
"LOC107388949",1.64213504383567
"sfmbt2",1.50491453286894
"gmppa",-1.73589240549144
"pcca",-1.21011300748145
"LOC107394925",1.62561226447766
"LOC107386857",1.56269958209508
"LOC107390508",-1.69034451289567
"tm9sf4",-1.21645637654688
"LOC107387847",2.16315498971847
"spic",2.96812021775922
"dnaaf5",-1.99763898269422
"LOC107383557",1.31640123325124
"gsk3b",1.60432755320073
"LOC107384829",2.4478002249733
"ccdc59",-1.4283895036948
"arhgap17",1.32575622162971
"LOC107396290",1.8773977128581
"LOC107388223",0.871886149900386
"LOC107394323",2.07654123613935
"dido1",0.962070572210862
"ranbp10",1.74154037796176
"LOC107397359",1.9891138739247
"ccdc71",0.887105934009187
"hdac4",4.17124052310087
"angptl4",3.01411400888854
"hmbs",-2.05137625409857
"trmt6",-1.17896744023444
"LOC107390850",2.49749505812203
"cyth2",1.04457599541558
"abcc2",1.42988457544453
"lrrc58",2.00893479560966
"rbl1",-2.03028578154039
"tmem168",-1.35886092323108
"ralgps2",1.12234101439083
"dock5",1.53676296780845
"LOC107385569",0.806401428624092
"arid2",0.944868440762808
"cdt1",-3.91970306612222
"tubgcp2",-1.50965311650489
"LOC107390449",-3.04204507315316
"LOC107387333",-1.53353761954672
"gpsm2",-1.8012549833656
"gramd4",1.29487553941989
"LOC107383112",1.35622441043352
"LOC107377282",1.2115573018902
"LOC107397024",-0.910619494410154
"ctnnal1",1.7060167444536
"ndrg3",-1.1598179419376
"ergic1",-1.16566577587634
"LOC107390510",1.97388441861204
"tgfbr3",1.69700995286032
"add3",1.16626671504278
"LOC107385636",1.25110506524407
"gtf2ird1",1.13917039950488
"LOC107392119",1.42623622305295
"p3h4",-2.78975565164686
"egr1",3.65898512935527
"LOC107388486",0.893356061014767
"LOC107379324",1.30422666907105
"stk11ip",1.29477375934256
"slc38a10",-1.40014883159973
"lmo7",1.46821175842086
"ulk3",1.49817752573247
"zyx",0.980703429077483
"papd5",1.09364143252899
"LOC107376358",1.15622533582546
"e2f1",-3.64355279873004
"LOC107375316",-2.30370129287221
"edc3",2.49554518332572
"lrrc42",-1.72199076543695
"LOC107382328",1.184966171832
"LOC107394333",-0.885369698761245
"znf827",1.06283067452117
"myoc",1.61699008739244
"LOC107386536",1.23483959042473
"LOC107372477",-1.85486187578229
"socs5",0.85715944810763
"erp44",-1.22182088978133
"LOC107396572",-1.63621385616672
"phf21a",1.03132385864034
"LOC107391868",-1.49598315444924
"ankrd11",2.01559017566919
"mcrs1",1.10292956084804
"fign",1.34388741368653
"slc44a4",2.63902781285606
"LOC107372971",2.36718134083097
"pgm3",-1.05630265738426
"ube2r2",1.35304742355069
"foxp1",2.14692007191674
"LOC107395608",2.65073792467065
"glg1",-1.10508466978578
"amfr",0.767001714769169
"LOC107375556",1.00379827091251
"LOC107383602",-1.13215310783822
"chfr",1.22007884985763
"atp1b4",2.99487270675793
"ca5a",1.2210479020096
"gulp1",1.07524033090224
"bach2",2.5664073098369
"aurka",-2.44598902948818
"LOC107389211",1.31350529248971
"smyd4",-1.41284444429389
"anks4b",-1.88658581269161
"pxk",-0.862569700000308
"LOC107384307",2.20622410648428
"mrps31",-1.26260271637006
"LOC107396014",-0.88516814445375
"LOC107396215",1.16360647930315
"LOC107377852",-1.42917640045369
"LOC107374266",1.25685757171043
"gramd2",1.49188149035629
"LOC107396916",1.3041876759787
"szt2",0.881830843959405
"exosc10",-0.817323904636295
"hectd3",-0.785889894749564
"LOC107388603",1.0454282875902
"LOC107378754",1.957164915766
"polr1c",-1.17447398638707
"setd1b",0.964176728722835
"map3k10",1.5815311763953
"tango6",0.907773346698233
"wrnip1",-2.63191376877886
"sil1",-1.66371509000436
"LOC107392522",1.11379711361476
"znf512b",0.977179523080844
"socs2",2.04054309504033
"LOC107377304",-1.21446829715468
"LOC107391405",-1.04299783966417
"LOC107393148",-2.77655930576029
"LOC107397390",0.980134254445941
"LOC107385642",0.748218815378504
"LOC107372392",0.624857599722123
"LOC107395807",1.11713472777026
"suclg2",-0.828066586657651
"enah",-1.72409138114025
"LOC107375097",-0.837469187251727
"galnt5",-1.22805862071209
"LOC107376896",1.52901686806719
"LOC107389749",1.44683753992746
"marveld2",1.45465856017656
"LOC107389815",1.91819247141323
"LOC107389328",3.76202373130364
"poc5",-2.30352976673768
"LOC107394047",1.4321034659431
"rad9a",-1.45165287217582
"LOC107389246",1.15289840458946
"ticrr",-3.11919666879355
"ttpa",1.04561082302834
"tshz1",1.22590751477999
"sdccag8",1.3668173706696
"LOC107391459",1.47063946249833
"LOC107389249",2.82417085860208
"LOC107393183",0.918614289737206
"hmces",0.910521816378591
"zc3h18",-0.873564887887061
"dyrk2",1.61645736217461
"pygo2",0.978706930581844
"LOC107374464",-2.792893671767
"LOC107387081",-0.887774618159754
"LOC107391650",-1.6186702142838
"nvl",-1.31236671913552
"LOC107374206",1.3835797344356
"uap1",-1.63380085664675
"ubxn1",-0.818333216208953
"zbtb40",-0.919227121063884
"arhgef28",1.27371950508844
"shank3",1.43348379123308
"LOC107394046",-0.892899259655406
"LOC107387310",-1.76886788996199
"top3b",-1.02327048838935
"tmf1",-0.62323724840455
"LOC107383622",2.04023945276798
"mydgf",-0.780000884390023
"LOC107392653",1.58606866703313
"abi1",1.32676722739323
"LOC107373824",1.23382949395702
"LOC107384292",-2.32479827035095
"skiv2l2",-0.864512571421004
"nfib",1.00674383928131
"nubp2",-1.3696442413643
"smpd4",-1.60622573769665
"bcl9",0.8838222725267
"asb5",2.31453443170153
"dyrk1b",1.20797039512009
"rrp12",-1.27664882309917
"csgr16h14orf80",-1.770548687907
"LOC107384320",1.15007709562607
"cpt1b",1.88518659885227
"esrrg",1.59209508981128
"poll",-0.940923541395953
"LOC107374827",1.08117303417624
"LOC107372496",0.882182500146383
"ptpra",0.890070541042168
"LOC107391153",0.852046472380642
"etv6",1.1682618961909
"sphk2",1.06785725727735
"dhx36",-1.00719905110629
"kiaa0391",-1.39752013634386
"sfswap",0.809158233943298
"fam193a",0.834363815150696
"LOC107389684",2.59639556963242
"LOC107382258",-1.37589258170132
"lrr1",-1.31687818119784
"LOC107378192",1.55207747953095
"copb1",-1.88994811894014
"atrnl1",0.99566506827644
"LOC107382749",2.23208909235702
"LOC107390374",1.37304171798687
"usp16",-0.896655173950147
"zfp36l1",0.911414853932327
"LOC107379174",1.46428150541031
"pold2",-2.98438286491502
"pten",1.09443187463204
"chd4",1.41956384713493
"dedd2",1.04197672695786
"gdf6",1.10677220104538
"ptprr",1.25222263029182
"rrp1b",-1.26426146580841
"LOC107397200",-1.2744557218378
"LOC107385756",1.27457083294855
"foxf1",1.05212139957291
"pisd",-0.874934654249088
"utrn",1.27732338709512
"robo2",-2.22809996210327
"LOC107373582",1.2409288766728
"LOC107391302",2.03031139049546
"LOC107388938",1.21804936552785
"kif21a",0.704721991363375
"LOC107379837",1.90325900494839
"fstl1",0.744916223666109
"LOC107395367",1.8785859862625
"rrbp1",-1.35324987652002
"kif13b",1.14354014968858
"depdc5",0.751720015262081
"LOC107394297",1.05435325253621
"LOC107388357",1.73708834288594
"magt1",-0.8939003990016
"LOC107383080",0.726654073201463
"csgr03h16orf72",0.7988433422462
"mkrn2os",1.29973967252912
"pdss2",-1.14200098574366
"LOC107376056",-1.0285825946986
"noc3l",-0.914747662825942
"fastkd1",-1.19842415908107
"LOC107377170",3.09950017819512
"zswim8",-0.806024528697404
"kmt5b",0.756181737068223
"LOC107396135",-0.728265458704603
"cops6",-0.916832154900778
"eif2ak3",-1.57176993550792
"LOC107374334",0.955028602634303
"LOC107382232",0.850128261655922
"arhgef38",0.793056895077669
"rev3l",0.965905705924549
"cep41",-1.89202354288263
"tnrc18",1.13240934515214
"fbxw11",0.763042803213402
"LOC107376701",1.24065344662036
"LOC107391086",-1.02203469861204
"LOC107379293",0.810235309059599
"smurf1",0.709221770551026
"LOC107385113",1.27170164055495
"cnot4",1.13447656355957
"dym",-1.19489113011742
"dgkz",-1.1033169261045
"LOC107391138",0.90264131315533
