"Gene","mlog10QvalxFC"
"mgll",2.73442377537126
"LOC107380208",-1.17907907315323
"angptl4",5.02217217178119
"klf11",2.7866710055544
"slc43a1",-1.51919146947644
"nrbp2",-1.38291140832958
"LOC107392837",3.07690264216878
"LOC107380229",-3.11136056747065
"anxa5",-2.52686394482033
"arhgap26",-0.715506538558732
"LOC107373791",-1.63774561079005
"relt",2.91097688284304
"LOC107392818",4.48772507754435
"kif20b",-1.75887717637936
"LOC107391141",-3.39161286600391
"LOC107394837",-1.07687151833807
"armc3",1.61165871529469
"vps13c",-1.21039746082428
"LOC107387515",1.9890527613042
"cpt1b",2.25038330605644
"atm",-1.6391408508527
"tmem200c",-2.89307982136211
"LOC107376108",-1.95827762305126
"csmd1",-1.01671834356473
"spry4",-1.53807598397583
"LOC107387514",2.06137522310886
"LOC107394608",0.971305903290445
"LOC107391402",1.55581865331331
"LOC107384334",-1.72813689837662
"LOC107387173",1.69538307915243
"LOC107375022",-3.08383722614725
"hltf",-1.06760856518542
"zbtb11",0.597476737132749
"LOC107383820",-2.58244244730128
"LOC107382158",-2.2388062744455
"tmem86a",1.10889387242229
"LOC107390372",1.76460729044483
"LOC107382077",0.874307803230529
"LOC107375103",-1.78794406874698
"LOC107388928",-2.21319139261934
"rnf2",-1.10494388103432
"taf8",3.03127108752235
"papd5",0.815544561443292
"lhpp",-1.52927525138638
"LOC107390484",-1.71834800004348
"LOC107379927",1.18601090632093
"LOC107392618",1.77216771845521
"LOC107376844",0.793537280980601
"plcg1",0.626640543599691
"LOC107379963",1.21914225183428
"LOC107393147",-0.917249207468865
"slc35d1",0.868900602078902
"fndc3b",-1.13224047729539
"bbox1",1.15932516783396
"timp2",-1.39073278454978
"unc5b",1.04206677798357
"LOC107388685",1.59288292603141
"LOC107381165",-1.02434220751194
"samd12",2.06506440428922
"plbd1",-1.43878043521026
"LOC107387611",1.52513735957424
"LOC107376973",-1.44964106214554
"LOC107385437",1.4080462113114
"LOC107395316",-2.75443082540241
"vwa5a",-1.8260195305261
"LOC107374803",-1.40344976511257
"ahnak",-0.979944057068543
"LOC107387766",1.63309110340505
"p2ry4",-1.07369237072394
"LOC107378754",2.12038223859811
"LOC107384328",-0.851789685023353
"LOC107394419",0.982082284857439
"LOC107392103",-1.6868892704276
"plk1",-2.80341031020908
"ncapg",-1.89016338330028
"LOC107397260",-1.25530658291892
"LOC107394713",-2.52459692438715
"arl5b",0.528273128917782
"dolk",0.761607362151226
"LOC107372414",1.56332353577413
"atn1",-1.45566543947804
"apof",0.629424934038663
"LOC107380350",-1.55877542649498
"LOC107376761",-1.12805313880533
"LOC107379128",-0.573546340542948
"pltp",-1.02634929145484
"slc20a2",0.665827590252366
"LOC107389641",-3.73620862413915
"LOC107379425",-1.10753216694713
"LOC107373434",-1.31168950756111
"LOC107394805",-1.54945416808468
"trmt13",0.62236364083601
"wdr70",-1.04968521123566
"LOC107390185",-1.64159088943795
"LOC107394572",-0.669679350233399
"LOC107394700",-2.04906543979326
"gpcpd1",0.592263174310726
"LOC107396072",-2.82030705111522
"LOC107389413",-1.47934479020299
"LOC107382995",-2.32918462789535
"agpat3",0.55998829783216
"LOC107385712",1.010140148993
"pola1",-1.58772423116384
"rerg",-1.48777375064169
"nusap1",-2.04036097551873
"rabggta",0.513613024483609
"LOC107391464",0.631715217876614
"rnaseh2c",-0.711503028315905
"csgr06h3orf52",-1.18870932607469
"acsl1",1.27873342279282
"LOC107373387",1.36790416536237
"dnmt1",-0.953068020378524
"LOC107395212",-1.64328837521426
"lrch4",-0.408714232293898
"LOC107379316",-2.47183280849924
"LOC107382981",1.2031920279567
"LOC107396396",-1.33658536315213
"pcyt2",1.24336940269747
"LOC107394896",0.556071615177136
"LOC107393052",-1.55927451192958
"tcp11l1",-1.03051011814628
"galt",-0.575289151833612
"LOC107395865",0.733733650996436
"LOC107380752",-0.857501943258699
"LOC107376972",-3.96297616085451
"cenpe",-1.91341579180045
"LOC107381952",1.03100900792559
"LOC107392619",1.39269808295836
"LOC107372911",-2.08440263653385
"LOC107381480",-1.54411056535587
"pidd1",-1.03536955756672
"aen",0.524198094454384
"LOC107389212",-1.43009801964659
"zbtb18",0.656580835675688
"relb",-1.99517707840692
"clock",0.457220507326154
"LOC107384303",1.27045322529487
"abl1",0.599262250367092
"zmat5",-0.503490122501989
"LOC107378144",-0.540328060584536
"dhx8",0.353360797121884
"LOC107378160",-1.34602643589866
"LOC107386892",-0.48653678316136
"LOC107396118",-1.23758519870576
"lig1",-1.17966082887331
"atxn2",0.403098684512933
"LOC107374531",0.791729396302518
"p2rx7",-0.88774006926782
"LOC107373441",-0.49488890815431
"mapkbp1",0.617745731398443
"steap4",-1.36460365070297
"LOC107375070",-2.23894323129267
"ocstamp",-4.42737504273083
"hhat",-0.959679926488534
"LOC107375711",-0.978941807280734
"pcsk5",0.466967260917295
"LOC107377778",-2.28020200739897
"ccdc30",0.747347820712526
"ptprq",-0.71209769491434
"incenp",-0.798798155717857
"mki67",-1.91975703106269
"ttk",-2.04547172745017
"sfxn5",-0.43070775976685
"nox1",-0.591750682245145
"LOC107380318",0.948075896767758
"otud7b",0.378827746865713
"LOC107391978",0.407959784025824
"LOC107394100",1.03938099150536
"ddc",2.61839357000953
"frk",-0.431292630568655
"LOC107391047",-1.12315746982643
"lpcat3",0.432638690209078
"ndc80",-1.65421416637557
"cdh11",-1.67121483521135
"ggnbp2",0.401801982797486
"LOC107373093",-0.932517523100541
"dyrk2",0.444100402757008
"LOC107397045",0.624303989571667
"pxmp4",0.473588189619316
"etfdh",0.647657558824752
"LOC107385168",0.728796323020182
"LOC107374161",0.503015519481724
"aspm",-1.61201104149431
"LOC107396696",0.422731477635838
"epdr1",-0.891319932580336
"acacb",0.560981349647974
"LOC107384956",0.538841534347376
"prkch",-0.703145075624471
"LOC107391584",-0.45223330715344
"lrrc17",-1.74282393942698
"adam12",-1.15118470111076
"yes1",0.350625828470919
"thsd7a",-3.41436032975142
"LOC107374492",-3.0254471307261
"LOC107386809",-0.933167710361618
"LOC107380303",-1.18803521117397
"tmem179",0.939574567197395
"LOC107390230",0.331335793248626
"jade2",-0.660253891175296
"cadps2",0.41977892476907
"LOC107383061",0.480098781108625
"treh",1.70288768374063
"LOC107387243",-3.40892977038984
